timestamp,open,high,low,close,volume
2023-10-12,8.9600,8.9750,8.6500,8.6900,8560693
2023-10-11,9.0500,9.1000,8.9000,8.9500,5389543
2023-10-10,9.0600,9.0700,8.9700,8.9900,6471865
2023-10-09,8.8700,9.0000,8.8550,8.9800,5454763
2023-10-06,8.9000,8.9400,8.7700,8.8500,7047910
2023-10-05,9.0100,9.0900,8.9100,8.9300,6928543
2023-10-04,9.0100,9.0700,8.9450,9.0500,8517299
2023-10-03,8.9500,9.0500,8.9100,8.9300,6679538
2023-10-02,9.0800,9.1100,9.0001,9.0600,6887144
2023-09-29,9.2300,9.2500,9.1000,9.1600,6590878
2023-09-28,9.1000,9.1850,9.0250,9.1700,6966653
2023-09-27,9.1300,9.1600,8.9400,9.0300,6562316
2023-09-26,9.1700,9.2250,9.1000,9.1000,7791938
2023-09-25,9.0300,9.2200,9.0300,9.1900,5901792
2023-09-22,9.1400,9.1900,9.0300,9.0500,5610025
2023-09-21,9.1900,9.2400,9.1000,9.1100,5940349
2023-09-20,9.2000,9.3900,9.1900,9.2600,5127687
2023-09-19,9.2900,9.3200,9.1250,9.1900,4299304
2023-09-18,9.3200,9.3500,9.2400,9.2800,4843888
2023-09-15,9.5200,9.5300,9.3200,9.3500,15278654
2023-09-14,9.3600,9.5300,9.3600,9.5300,6326452
2023-09-13,9.4200,9.4200,9.1600,9.2100,8351875
2023-09-12,9.4700,9.5050,9.4000,9.4400,4811906
2023-09-11,9.3700,9.4900,9.3700,9.4300,7643591
2023-09-08,9.2100,9.2700,9.2000,9.2500,5807083
2023-09-07,9.2500,9.3400,9.1300,9.1500,11802969
2023-09-06,9.3300,9.4300,9.2600,9.2800,6696946
2023-09-05,9.7200,9.7200,9.4700,9.4800,7467553
2023-09-01,9.7800,9.8200,9.7250,9.7800,4719267
2023-08-31,9.7700,9.8300,9.7100,9.7400,8352612
2023-08-30,9.7700,9.8300,9.7125,9.7500,6396192
2023-08-29,9.5900,9.7200,9.5900,9.7100,6259043
2023-08-28,9.5200,9.6100,9.4700,9.5300,5989274
2023-08-25,9.4200,9.4800,9.3800,9.4200,5055244
2023-08-24,9.3300,9.5100,9.3150,9.4000,5265506
2023-08-23,9.3300,9.4200,9.3200,9.3700,5410324
2023-08-22,9.4700,9.4700,9.2800,9.3100,5545782
2023-08-21,9.5500,9.5550,9.4100,9.4500,6055829
2023-08-18,9.5900,9.6750,9.5000,9.5700,7982768
2023-08-17,9.2600,9.7700,9.2500,9.5700,13242188
2023-08-16,9.4400,9.4900,9.3900,9.4100,6996444
2023-08-15,9.5700,9.5900,9.4600,9.4800,5083118
2023-08-14,9.6600,9.6800,9.5800,9.6500,5758148
2023-08-11,9.7150,9.7250,9.6300,9.6900,5025223
2023-08-10,9.7300,9.8200,9.6900,9.7200,7230012
2023-08-09,9.7700,9.8050,9.6600,9.7000,6701353
2023-08-08,9.7500,9.7750,9.6200,9.7100,7427191
2023-08-07,9.8500,9.9100,9.8100,9.9100,5731271
2023-08-04,9.8100,9.9850,9.7750,9.8500,8147599
2023-08-03,9.8400,9.9000,9.7500,9.7700,13851484
2023-08-02,9.9100,9.9200,9.7600,9.8500,9290984
2023-08-01,10.1900,10.2100,10.0000,10.0100,8892717
2023-07-31,10.2600,10.3500,10.2300,10.2600,16996550
2023-07-28,10.3100,10.3300,10.2000,10.2200,6227066
2023-07-27,10.2100,10.3100,10.1700,10.1800,6426455
2023-07-26,10.1300,10.2050,10.0500,10.1500,5837554
2023-07-25,10.1500,10.2200,10.0700,10.1800,7075892
2023-07-24,10.0500,10.1200,10.0200,10.1100,3808861
2023-07-21,10.0000,10.0500,9.8900,10.0200,4624404
2023-07-20,10.0000,10.0250,9.9000,9.9500,6502479
